sampleID,dateTime,sourceCode,latitude,longitude,altitude,speed,heading,linkPVID,direction,distFromRef,distFromLink
4560,6/12/2009 8:11:14 AM,13,53.0697081238031,8.87289921753109,49,0,360,51872180,F,3.5786488429860492,0.2079518253921521
4560,6/12/2009 8:11:20 AM,13,53.0696964729577,8.87285999022424,49,0,360,51872180,F,3.670008566463114,0.13541114617792044
4560,6/12/2009 8:11:25 AM,13,53.069697227329,8.87283283285797,49,0,360,51872180,F,3.809546000084704,0.5836318332617172
4560,6/12/2009 8:11:31 AM,13,53.0696765240282,8.87283543124795,49,0,360,51872180,T,3.6475929727994627,0.9086544940574225
4560,6/12/2009 8:11:36 AM,13,53.0696517974138,8.87285621836782,49,0,360,51872180,T,3.369164322391609,0.9411470653262679
4560,6/12/2009 8:11:42 AM,13,53.0696581676602,8.87287667021155,49,0,360,51872180,T,3.3052567850353043,0.8426131402604327
4560,6/12/2009 8:11:47 AM,13,53.0696799606085,8.87294162996113,49,0,360,51872180,T,3.1565596773252023,0.25572444302367875
4560,6/12/2009 8:11:52 AM,13,53.0697088781744,8.87297063134611,49,0,360,51872180,F,3.283449410862267,0.19811987612418064
4560,6/12/2009 8:11:57 AM,13,53.0697714909911,8.87297943234444,49,0,360,51872180,F,3.83874935480521,0.74367287726319
4560,6/12/2009 8:12:02 AM,13,53.069765875116,8.87286501936615,49,0,360,51872180,F,4.215210664412437,0.2213390757782967
4560,6/12/2009 8:12:07 AM,13,53.0697560682893,8.87284993194044,49,0,360,51872180,T,4.195794653592711,0.021173995873654206
4560,6/12/2009 8:12:12 AM,13,53.0697307549417,8.87288706377149,49,0,360,51872180,T,3.8208253183143612,0.03823055663295573
4560,6/12/2009 8:12:17 AM,13,53.0696931201965,8.8728588167578,49,0,360,51872180,T,3.6502945512245057,0.2639455413659356
4560,6/12/2009 8:12:22 AM,13,53.0696877557784,8.87288211844862,49,0,360,51872180,T,3.4961786911250305,0.008085895686848147
4560,6/12/2009 8:12:27 AM,13,53.0697122309357,8.8729328289628,49,0,360,51872180,T,3.4669071692785147,0.025539950576415383
4560,6/12/2009 8:12:32 AM,13,53.0697898473591,8.87297557666898,49,0,360,51872180,F,4.030120443583614,0.72522911646257
4560,6/12/2009 8:12:37 AM,13,53.0698118917644,8.8729949388653,49,0,360,51872180,F,4.191554876892751,0.6901392042270145
4560,6/12/2009 8:12:42 AM,13,53.0698392167687,8.87300767935812,49,0,360,51872180,F,4.435654794275231,0.5661871411008578
4560,6/12/2009 8:12:47 AM,13,53.069884730503,8.87298513203859,49,0,360,51872180,F,4.9610210248016084,0.34631059577285966
4560,6/12/2009 8:12:52 AM,13,53.0699220299721,8.87295068241656,49,0,360,51872180,F,5.431563498136678,0.20763901502509277
4560,6/12/2009 8:12:58 AM,13,53.069924376905,8.8729365170002,49,0,360,51872180,F,5.492203330532472,0.2346878930156669
4560,6/12/2009 8:13:03 AM,13,53.0699280649424,8.87293257750571,49,0,360,51872180,F,5.540234085757317,0.222295267775208
4560,6/12/2009 8:13:08 AM,13,53.0699195992202,8.8729658536613,49,0,360,51872180,T,5.3687048517455445,0.17836020394388258
4560,6/12/2009 8:13:13 AM,13,53.0699185933918,8.87299762107432,49,0,360,51872180,T,5.284238485415082,0.09129856079058682
4560,6/12/2009 8:13:18 AM,13,53.0699070263654,8.87303684838116,49,0,360,51872180,T,5.080237465573608,0.05220367659563692
4560,6/12/2009 8:13:23 AM,13,53.0698916874826,8.87307984754443,49,0,360,51872180,T,4.838263612534286,0.02732387649812783
4560,6/12/2009 8:13:28 AM,13,53.0698616802692,8.87313541956246,49,0,360,51872180,T,4.4316241843993955,0.059659815310515674
4560,6/12/2009 8:13:33 AM,13,53.0698574893177,8.87315486557782,49,0,360,51872180,T,4.363122185726377,0.0316583426543628
4560,6/12/2009 8:13:38 AM,13,53.0698438268155,8.87310046702623,49,0,360,51872180,T,4.2888489901134985,0.26871242070376483
4560,6/12/2009 8:13:43 AM,13,53.0698298290372,8.8731072563678,49,0,360,51872180,T,4.126912123449026,0.33557125897453544
4560,6/12/2009 8:13:48 AM,13,53.0698175914586,8.87310666963458,49,0,360,51872180,T,3.996269591462851,0.4119845389178491
4560,6/12/2009 8:13:53 AM,13,53.0697760172188,8.87304808013141,49,0,360,51872180,T,3.683512205459194,0.7022986979086651
4560,6/12/2009 8:13:58 AM,13,53.0697793699801,8.87302846647799,49,0,360,51872180,F,3.769730987132335,0.708885236631558
